dataset,minsup,num_processes,chunk_size,apriori_time,rules_time
retail_long,0.01,2,max,24.817878,0.06506815
retail_long,0.01,4,max,14.869697,0.06995286
retail_long,0.01,8,max,11.703591,0.07902965
retail_long,0.01,16,max,12.261387,0.09390860
retail_long,0.01,32,max,17.112471,0.14665435
retail_long,0.01,64,max,29.927544,0.27984525
retail_long,0.02,2,max,26.093082,0.06701183
retail_long,0.02,4,max,11.488494,0.07180575
retail_long,0.02,8,max,9.035430,0.08043095
retail_long,0.02,16,max,10.176033,0.09770808
retail_long,0.02,32,max,14.350989,0.13013666
retail_long,0.02,64,max,22.195012,0.21678913
retail_long,0.05,2,max,22.561778,0.06585698
retail_long,0.05,4,max,13.073680,0.07093486
retail_long,0.05,8,max,8.849106,0.07722706
retail_long,0.05,16,max,8.525824,0.10021982
retail_long,0.05,32,max,9.043623,0.12636485
retail_long,0.05,64,max,12.104875,0.21396208
groceries,0.01,2,max,1.054708,0.04129312
groceries,0.01,4,max,0.711819,0.03933926
groceries,0.01,8,max,0.664441,0.04659628
groceries,0.01,16,max,0.887658,0.06209635
groceries,0.01,32,max,1.359170,0.09349942
groceries,0.01,64,max,2.258554,0.17071590
groceries,0.02,2,max,0.495133,0.03675799
groceries,0.02,4,max,0.402278,0.03956202
groceries,0.02,8,max,0.428889,0.04523609
groceries,0.02,16,max,0.657258,0.05662363
groceries,0.02,32,max,0.960303,0.08968943
groceries,0.02,64,max,1.773115,0.15580888
groceries,0.05,2,max,0.213864,0.03736689
groceries,0.05,4,max,0.223577,0.03927808
groceries,0.05,8,max,0.274986,0.04354668
groceries,0.05,16,max,0.402694,0.05931630
groceries,0.05,32,max,0.752411,0.08978363
groceries,0.05,64,max,1.324341,0.14033779
