dataset,minsup,num_processes,chunk_size,apriori_time,rules_time
retail_long,0.01,2,max,22.907988,0.06660627
retail_long,0.01,4,max,14.022639,0.07142275
retail_long,0.01,8,max,10.975263,0.08027565
retail_long,0.01,16,max,9.729478,0.09596936
retail_long,0.01,32,max,14.032408,0.13851002
retail_long,0.01,64,max,33.725732,0.30504842
retail_long,0.02,2,max,19.438800,0.07006286
retail_long,0.02,4,max,13.537719,0.07711690
retail_long,0.02,8,max,9.259353,0.08687598
retail_long,0.02,16,max,8.325753,0.10637977
retail_long,0.02,32,max,11.414917,0.15180536
retail_long,0.02,64,max,21.096293,0.27699291
retail_long,0.05,2,max,18.946742,0.06983517
retail_long,0.05,4,max,11.470355,0.07489229
retail_long,0.05,8,max,8.809200,0.08457564
retail_long,0.05,16,max,7.562476,0.10385327
retail_long,0.05,32,max,8.962422,0.16297323
retail_long,0.05,64,max,33.965583,0.25316155
dataset,minsup,num_processes,chunk_size,apriori_time,rules_time
groceries,0.01,2,max,1.335758,0.07479549
groceries,0.01,4,max,0.944684,0.08005124
groceries,0.01,8,max,0.843908,0.08616143
groceries,0.01,16,max,1.024800,0.10677290
groceries,0.01,32,max,1.485238,0.15791007
groceries,0.01,64,max,2.515681,0.25816893
groceries,0.02,2,max,0.767347,0.07149313
groceries,0.02,4,max,0.656272,0.07654400
groceries,0.02,8,max,0.781443,0.08911871
groceries,0.02,16,max,0.933462,0.11195330
groceries,0.02,32,max,1.218490,0.14466967
groceries,0.02,64,max,2.279011,0.27214784
groceries,0.05,2,max,0.435082,0.07140246
groceries,0.05,4,max,0.428071,0.07657931
groceries,0.05,8,max,0.467949,0.08612165
groceries,0.05,16,max,0.561236,0.10208345
groceries,0.05,32,max,0.853348,0.14007178
groceries,0.05,64,max,1.465697,0.22798941
