dataset,minsup,num_processes,chunk_size,apriori_time,rules_time
retail_long,0.01,2,max,23.270734,0.00962429
retail_long,0.01,4,max,12.477325,0.01265634
retail_long,0.01,8,max,7.348446,0.02182854
retail_long,0.01,16,max,4.728487,0.03276560
retail_long,0.01,32,max,4.896793,0.05851929
retail_long,0.01,64,max,5.761934,0.12438617
retail_long,0.02,2,max,23.095046,0.00863178
retail_long,0.02,4,max,11.186068,0.01135377
retail_long,0.02,8,max,7.299148,0.01742791
retail_long,0.02,16,max,4.043462,0.03242435
retail_long,0.02,32,max,4.046107,0.05540007
retail_long,0.02,64,max,4.450189,0.11526858
retail_long,0.05,2,max,24.120646,0.00809756
retail_long,0.05,4,max,12.751565,0.01177118
retail_long,0.05,8,max,6.522688,0.01701844
retail_long,0.05,16,max,4.128032,0.02813558
retail_long,0.05,32,max,3.914617,0.07246512
retail_long,0.05,64,max,4.229391,0.11582420
groceries,0.01,2,max,0.915731,0.00929273
groceries,0.01,4,max,0.644365,0.01112036
groceries,0.01,8,max,0.405668,0.01687657
groceries,0.01,16,max,0.303917,0.02861495
groceries,0.01,32,max,0.507190,0.05284075
groceries,0.01,64,max,0.747989,0.12738691
groceries,0.02,2,max,0.341080,0.00710308
groceries,0.02,4,max,0.200948,0.01044186
groceries,0.02,8,max,0.148157,0.01682364
groceries,0.02,16,max,0.210690,0.02937111
groceries,0.02,32,max,0.278336,0.04652337
groceries,0.02,64,max,0.463215,0.09767180
groceries,0.05,2,max,0.099166,0.00685701
groceries,0.05,4,max,0.075004,0.01001548
groceries,0.05,8,max,0.079576,0.01552644
groceries,0.05,16,max,0.108412,0.02523713
groceries,0.05,32,max,0.169803,0.04880642
groceries,0.05,64,max,0.329371,0.09453263
